doc number,headline,doc length |D|,snippet,Doc path
241,PALESTINIAN AIRPORT OPENS TO JUBILATION ,1325,RAFAH Gaza _ Palestinians celebrated with euphoria thelong-delayed opening of their international airport Tuesday as aparade of planes swooped down from cottony skies and glided to aliteral red-carpet landing in the flatlands of Gaza. With brass bands bag-pipes and grandiloquent speechesPalestinian officials made it clear that they see the sleeklymodern airport as the most concrete symbol yet of their fledglingsovereignty.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30040t/NYT19981124.0267
242,Typhoon Babs heads for southern China; at least 129 dead in,695,SAN MIGUEL Philippines (AP) _ Typhoon Babs raced towardsouthern China on Saturday leaving behind a trail of destructionon the Philippines' main island where at least 129 people died andhundreds of thousands were forced to flee their homes.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31011t/APW19981024.0164
243,ANALYSIS: ROCKY ROAD LENGTH UNKNOWN ,1226,WASHINGTON _ Almost every member of the House JudiciaryCommittee paid some tribute to the Constitution and the FoundingFathers Monday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30050t/NYT19981005.0445
244,Reports say three top Libyan officials jailed in Lockerbie case,527,CAIRO Egypt (AP) _ Newspapers reported Wednesday that three topLibyan officials have been tried and jailed in the Lockerbie casebut Libyan dissidents said the reports appeared to be a politicalploy by Libya's leader Col.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30042t/APW19981125.0279
245,Philippine labor strikes lockouts declining,249,MANILA Philippines (AP) _ The number of labor strikes andlockouts in the Philippines has declined this year despite businessdifficulties caused by Asia's financial crisis the labordepartment said Sunday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31041t/APW19981122.0379
246,ABORTION PROVIDER KILLED BY SNIPER'S BULLET ,1028,Dr.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31013t/NYT19981024.0136
247,WWUS IN KEY WEST IS A VOICE IN THE STORM ,385,The voice that haunts Bill Becker is a woman's filled withfear who dialed in the dark on Sept.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31028t/NYT19981004.0072
248,Indonesian leader urged to end violence in East Timor,442,KUALA LUMPUR Malaysia (AP) _ More than 100 people held acandlelight vigil outside the Indonesian Embassy Thursdaydemanding that President B.J.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30034t/APW19981112.0549
249,URGENT,127,TEHRAN Iran (AP) _ Iran's conservatives won a decisive victoryin elections for a clergy-based assembly that oversees thecountry's supreme leader official results showed Sunday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31027t/APW19981025.0209
250,KILLING OF DOCTOR BECOMES A FACTOR IN POLITICAL RACES,854,The killing of Dr.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31013t/NYT19981026.0446
251,Swissair CEO defends installation of in-flight entertainment,197,ZURICH Switzerland (AP) _ Swissair ``did everything correctly''in installing a state-of-the-art entertainment system switched offlast month in the wake of the crash of Flight 111 the airline'schief executive said in an interview published Sunday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30016t/APW19981122.0382
252,Swissair CEO defends installation of in-flight entertainment,209,ZURICH Switzerland (AP) _ Swissair ``did everything correctly''in installing a state-of-the-art entertainment system switched offlast month in the wake of the crash of Flight 111 the airline'schief executive said in an interview published Sunday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30016t/APW19981122.0381
253,WEATHER ,419,&QL; NATIONAL FORECAST &QL; Frost will cover patches of the landscape from the western GreatLakes to the northern Ohio Valley on Friday morning.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31028t/NYT19981001.0271
254,Reports: signs point to arson in Swedish fire that killed 60,742,GOTEBORG Sweden (AP) _ Officials offered no word Sunday on whatmight have caused the dance-hall fire that killed 60 young peoplebut reports of grim possibilities abounded in newspapers.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31022t/APW19981101.0556
255,INDONESIAN ARMY PULLBACK IN EAST TIMOR DISPUTED BY LEAKED REPORTS ,797,UNITED NATIONS _ Opponents of Indonesia's control over thedisputed territory of East Timor said Thursday that documentsleaked from the Indonesian Ministry of Defense show that the armyis not drawing down its forces in the territory as the governmenthas reported. The documents date from August and the situation might havechanged since then.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30034t/NYT19981029.0389
256,British Embassy: no leads to British New Zealand hostages in,271,MOSCOW (AP) _ The British Embassy in Moscow has received nodirect information about three Britons and a New Zealanderkidnapped in breakaway Chechnya nearly two weeks ago an embassyofficial said Wednesday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30056t/APW19981014.0284
257,AP Photo NIC-101,288,NICOSIA Cyprus (AP) - About 100 Kurds began a hunger strike inthe main square of Nicosia on Saturday to protest the detention inItaly of Kurdish rebel leader Abdullah Ocalan.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30044t/APW19981114.0178
258,ABORTION CLINIC IN BUFFALO VOWS TO CONTINUE SLAIN DOCTOR'S WORK ,949,BUFFALO N.Y.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31013t/NYT19981027.0421
259,U.S. SEES BROOKLYN CONNECTION TO EMBASSY BOMBINGS ,1883,NEW YORK _ Several months after the bombing of the World TradeCenter in February 1993 one of the suspects tried to bargain withfederal prosecutors in New York offering inside information aboutthe bomb plot in exchange for a lighter sentence. The deal never materialized and the defendant was eventuallyfound guilty and sentenced to life in prison.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31038t/NYT19981021.0378
260,EARLY RETURNS INDICATE RE-ELECTION OF CARDOSO IN BRAZIL ,730,RIO DE JANEIRO Brazil _ Brazilian voters appeared to re-electPresident Fernando Henrique Cardoso in the first round of ballotingSunday thus maintaining the leadership of a country strugglingagainst economic crisis. In preliminary returns Cardoso appeared to have defeated LuizInacio Lula da Silva the three-time presidential candidate of theleftist Workers Party with 56 percent of the vote a far strongershowing than polls initially predicted. Cabinet members gathering at the presidential palace in BrasiliaSunday night called the vote a mandate for reform which thepresident is under national and international pressure to carryout. With $30 billion having drained from federal reserves sinceRussia's economic collapse in late August and the Sao Paulo stockmarket down more than 40 percent this year the Braziliangovernment has been somewhat paralyzed by the approach ofelections.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30048t/NYT19981004.0131
261,Officials: Bodies of four kidnapped foreigners found,319,GROZNY Russia (AP) _ Chechen authorities found the remains offour kidnapped foreigners Tuesday near a remote village in thebreakaway region in southern Russia.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30056t/APW19981208.0313
262,With lawyers harassed Chinese dissidents go to trial alone,722,BEIJING (AP) _ With attorneys locked up harassed or plainscared two prominent dissidents will defend themselves againstcharges of subversion Thursday in China's highest-profile dissidenttrials in two years.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31050t/APW19981216.0666
263,Officials: Bodies of four kidnapped foreigners found,313,GROZNY Russia (AP) _ Chechen authorities found the remains offour kidnapped foreigners Tuesday near a remote village in thebreakaway region in southern Russia.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30056t/APW19981208.0315
264,WEB SITE FOR CRASH VICTIM FAMILIES ,734,WASHINGTON _ After the crash of Swissair Flight 111 the airlinegave the grieving familes of the victims all the help customarilyoffered in such disasters.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30016t/NYT19981118.0185
265,Cold kills 39 in Moscow this month,162,MOSCOW (AP) _ Unusually cold weather in Moscow killed at least39 people in November medical officials said on Monday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31010t/APW19981130.0222
266,EDITORIAL: BRAZIL'S ECONOMIC TROUBLES ,500,The New York Times said in editorial for Wednesday Oct.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30048t/NYT19981006.0468
267,Report: South African truth panel to condemn ANC,701,JOHANNESBURG South Africa (AP) _ The institution exploringapartheid's horrors will issue a report that finds the AfricanNational Congress shares blame for human rights violations as itstruggled to overcome white rule.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31001t/APW19981026.0787
268,Eight weeks after crash bulk of Flight 111 wreckage now recovered,507,TORONTO (AP) _ Hundreds of thousands of pieces of SwissairFlight 111 representing 60 percent of the plane have now beenretrieved from the ocean floor but an explanation for the Sept.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30016t/APW19981027.1075
269,Philippine Airlines says it will go it alone,428,MANILA Philippines (AP) _ Philippine Airlines said Thursday itwill attempt to rebuild alone after Hong Kong's Cathay PacificAirlines pulled out of talks on acquiring a stake in the ailingPhilippine flag carrier.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31041t/APW19981203.0309
270,Death toll from cold weather reaches 74,159,WARSAW Poland (AP) _ Two more victims of Poland's prolongedcold front were found Thursday raising the death toll from morethan two weeks of freezing temperatures to at least 74.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31010t/APW19981203.0965
271,2 VEHICLES USED IN TANZANIA BOMBING FBI SAYS ,566,DAR ES SALAAM Tanzania _ In a rare public statement about theAugust bombings of two U.S.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31038t/NYT19981016.0283
272,Typhoon Babs heads toward south China flooding Taiwan,589,TAIPEI Taiwan (AP) _ Typhoon Babs brought torrential rains andlandslides to Taiwan and lashed Hong Kong with strong winds Sundayafter killing more than 150 people in the Philippines and leavinghundreds of thousands homeless.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31011t/APW19981025.0231
273,Eight weeks after crash bulk of Flight 111 wreckage now recovered,516,TORONTO (AP) _ Hundreds of thousands of pieces of SwissairFlight 111 representing 60 percent of the plane have now beenretrieved from the ocean floor but an explanation for the Sept.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30016t/APW19981027.1082
274,Flowers and quiet tears as Swedes mourn teen-age fire victims,831,GOTEBORG Sweden (AP) _ Forensic experts examining heavilyburned bodies were able Saturday to identify more of the 60 youngpeople who died in a dance hall fire but the catastrophe's mosttormenting question was still unanswered.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31022t/APW19981031.0551
275,ACTING FOR U.S. SAUDIS ASKED TALIBAN TO DEPORT BIN LADEN  ,1197,WASHINGTON _ Urged on by the Clinton administration SaudiArabia's top intelligence official met privately with the leader ofthe Taliban in late September to try to persuade Afghanistan todeport Osama bin Laden the Saudi exile suspected of mastermindingthe August bombings of two American embassies in East Africaaccording to U.S.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31038t/NYT19981017.0140
276,U.S. officials seek extra time for extradition of terror suspect,284,MUNICH Germany (AP) _ U.S.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31038t/APW19981003.0517
277,Castro disagrees with arrest of Pinochet,434,OPORTO Portugal (AP) _ President Fidel Castro said Sunday hedisagreed with the arrest in London of former Chilean dictatorAugusto Pinochet calling it a case of ``international meddling.''  Castro compared the action with the establishment in Rome inAugust of an International Criminal Court a move Cuba hasexpressed reservations about.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30003t/APW19981018.0410
278,MICROSOFT DISPUTES NETSCAPE MEETING ACCOUNT ,940,WASHINGTON _ A lawyer for Microsoft Corp.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31033t/NYT19981022.0507
279,Flowers and quiet tears as Swedes mourn teen-age fire victims,819,GOTEBORG Sweden (AP) _ A panicky telephone call in poor Swedishwas the first word that authorities got of a fire racing through adance hall crowded with immigrant teen-agers delaying fire squads'response to the blaze that killed 60 and injured 162 officialssaid Saturday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31022t/APW19981031.0314
280,Chechen gunmen take four foreign hostages,549,GROZNY Russia (AP) _ Unknown gunmen abducted three Britons anda New Zealand citizen in Russia's breakaway Chechnya region after ashootout with their bodyguards a regional official said Sunday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30056t/APW19981004.0717
281,Reports: signs point to arson in Swedish fire that killed 60,711,GOTEBORG Sweden (AP) _ Officials offered no word Sunday on whatmight have caused the dance-hall fire that killed 60 young peoplebut reports of grim possibilities abounded in newspapers.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31022t/APW19981101.0536
282,SOUTH AFRICAN PANEL TO WITHHOLD DATA IMPLICATING DE KLERK ,1108,JOHANNESBURG South Africa _ Facing a court challenge the Truthand Reconciliation Commission said Wednesday that it wouldwithhold at least temporarily the parts of its final report thatimplicate South Africa's last apartheid-era president F.W.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31001t/NYT19981028.0331
283,Alcohol strained welfare system blamed for Poland's high death,253,WARSAW Poland (AP) _ Krzysztof Chmiel knows about beinghomeless and drinking so his explanation for the 47 deaths as ofWednesday in Poland's Arctic cold wave sounds plausible.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31010t/APW19981125.0278
284,Brazilian markets slide despite Cardoso's almost certain,213,RIO DE JANEIRO Brazil (AP) _ Brazilian stocks dropped sharplyMonday in the lowest trading volume of the year despite the almostcertain re-election of President Fernando Henrique Cardoso.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30025t/APW19981005.1097
285,TURKEY'S TIES TO SYRIA SINK TO WAR IN ALL BUT NAME ,711,ISTANBUL Turkey _ Tension between Turkey and Syria has risen tothe point where the top Turkish military commander says the twohostile neighbors have reached ``a state of undeclared war.'' ``We are trying to be patient'' said the commander Gen.Huseyin Kivrikoglu ``but that has a limit.'' Syria has reacted angrily to Turkey's blossoming friendship withIsrael.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30028t/NYT19981003.0058
286,LATIN AMERICAN ECONOMIC OFFICIALS LASH OUT AT IMF  (JT),790,WASHINGTON _ Increasingly angry at what they consider thelenient treatment that Russia received in its $4.5 billion bailoutby the International Monetary Fund Latin American officials andeconomists warned Monday that the programs being offered to protecttheir own countries were too paltry. Guillermo Ortiz Mexico's central bank governor and formerfinance minister said that faced with the mounting financialpressures on Latin America and the rest of the developing worldthe $90 billion the United States wants to give the monetary fundin extra lending money would be adequate ``if things go well butnot enough for a bad scenario.'' By some calculations he said the developing world might need$200 billion in new loans by 1999. Ortiz's warnings came at a seminar here during this year'sannual meeting of the World Bank and the IMF.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30048t/NYT19981005.0365
287,Car bomb explodes; Israel suspends ratification of peace accord,1034,JERUSALEM (AP) _ A car bomb blew up Friday in a Jerusalem marketcrowded with Israelis shopping for the Sabbath.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30010t/APW19981106.0572
288,Germany reports terrorist threat against U.S. embassy,299,BONN Germany (AP) _ German police raided several locations nearBonn after receiving word of a terrorist threat against the U.S.Embassy but no evidence of a planned attack was found officialssaid Wednesday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30005t/APW19981104.0772
289,Death toll from cold weather reaches 74,157,WARSAW Poland (AP) _ Two more victims of Poland's prolongedcold front were found Thursday raising the death toll from morethan two weeks of freezing temperatures to at least 74.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31010t/APW19981203.0970
290,MICROSOFT SAYS NETSCAPE SOUGHT AN ARRANGEMENT ,1131,WASHINGTON _ Attempting to refute a central allegation in thegovernment's antitrust case Microsoft Corp.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31033t/NYT19981021.0400
291,Estrada urges militant unionists to accept PAL referendum,441,MANILA Philippines (AP) _ President Joseph Estrada on Saturdayurged militant unionists at Philippine Airlines to accept a vote byworkers approving a 10-year no-strike deal to revive the debt-ladenairline.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31041t/APW19981003.0184
292,Three soldiers and a civilian killed in East Timor,421,JAKARTA Indonesia (AP) _ Assailants killed three soldiers and acivilian in the disputed territory of East Timor Indonesia'sofficial Antara news agency reported Sunday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30034t/APW19981101.0202
293,ANTI-ENVIRO CONGRESS ON COLLISION COURSE WITH PUBLIC ,1035,Congress is playing ``chicken'' with the president and theAmerican public.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31031t/NYT19981006.0047
294,Cold weather claims more than 50 lives in Europe,439,BUCHAREST Romania (AP) _ An Arctic cold wave and accompanyingblizzards have killed at least 62 people throughout Europe policeand media reported Monday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31010t/APW19981123.0532
295,Death toll rises in Haitian town washed away by Hurricane Georges,302,PORT-AU-PRINCE Haiti (AP) _ Searchers recovered more bodiesover the weekend from tons of gravel deposited by storm flooding ina southeastern Haitian town pushing the national death toll fromHurricane Georges past 150 officials said Monday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31028t/APW19981005.1108
296,U.S. SAYS IT CAN TIE BIN LADEN TO EMBASSY BOMBINGS  (JT),411,NEW YORK _ Federal prosecutors in Manhattan said Wednesday thatone of the men accused of conspiring to bomb the U.S.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31038t/NYT19981007.0383
297,INCUMBENT PRESIDENT TAKES COMFORTABLE LEAD IN BRAZIL ,878,RIO DE JANEIRO Brazil _ Brazilian voters gave PresidentFernando Henrique Cardoso a comfortable lead in the first round ofballoting Sunday apparently maintaining the leadership of acountry struggling against economic crisis. With 22 percent of the vote counted Cardoso appeared to havewon 51 percent of the vote compared with 34 percent for his mainrival Luiz Inacio Lula da Silva the three-time presidentialcandidate of the leftist Workers Party. If he still has a majority when returns are complete Cardosowill be declared re-elected without facing a runoff.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30048t/NYT19981004.0152
298,A MAVERICK SPANISH JUDGE'S TWO-YEAR QUEST FOR PINOCHET'S ARREST ,984,PARIS _ A stubbornly independent judge who more than once haschallenged the Spanish government Baltasar Garzon was ridiculedwhen he first set out to pursue the most notorious right-winggenerals in South America for human rights crimes committed in the1970s and '80s offenses for which they had already been grantedamnesty at home. Now after Garzon succeeded in getting Scotland Yard to arrestChile's former dictator Gen.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30003t/NYT19981018.0123
